No.;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
316;2,108792;;2,108792;2,108792;0;;-0,002737;0,002737;0,005474
317;2,108792;;2,108792;2,111529;0,002737;;0,002737;0;-0,002737
318;2,111529;;2,111529;2,111529;0;;0;0;0
319;2,111529;;2,111529;2,111529;0;;0;0;0
320;2,111529;;2,111529;2,111529;0;;0;0;0
321;2,111529;;2,111529;2,111529;0;;0;0;0
322;2,111529;;2,111529;2,111529;0;;0;0;0
323;2,111529;;2,111529;2,111529;0;;0;0;0
324;2,111529;;2,111529;2,111529;0;;0;0;0
325;2,111529;;2,111529;2,111529;0;;0;0;0
326;2,111529;;2,111529;2,111529;0;;0;0;0
327;2,111529;;2,111529;2,111529;0;;0;0;0
328;2,111529;;2,111529;2,111529;0;;0;0;0
329;2,111529;;2,111529;2,111529;0;;0;0;0
330;2,111529;;2,111529;2,111529;0;;0;-0,000344;-0,000344
331;2,111529;;2,111529;2,111529;0;;-0,000344;2,00E-06;0,000346
332;2,111529;;2,111529;2,111873;0,000344;;2,00E-06;-0,001308;-0,00131
333;2,111873;;2,111873;2,112215;0,000342;;-0,001308;0,00165;0,002958
334;2,112215;;2,112215;2,113865;0,00165;;0,00165;0;-0,00165
335;2,113865;;2,113865;2,113865;0;;0;0;0
336;2,113865;;2,113865;2,113865;0;;0;0;0
337;2,113865;;2,113865;2,113865;0;;0;0;0
338;2,113865;;2,113865;2,113865;0;;0;0;0
339;2,113865;;2,113865;2,113865;0;;0;0;0
340;2,113865;;2,113865;2,113865;0;;0;0;0
341;2,113865;;2,113865;2,113865;0;;0;0;0
342;2,113865;;2,113865;2,113865;0;;0;0;0
343;2,113865;;2,113865;2,113865;0;;0;0;0
344;2,113865;;2,113865;2,113865;0;;0;0;0
345;2,113865;;2,113865;2,113865;0;;0;-0,000341;-0,000341
346;2,113865;;2,113865;2,113865;0;;-0,000341;-2,00E-05;0,000321
347;2,113865;;2,113865;2,114206;0,000341;;-2,00E-05;-0,001166;-0,001146
348;2,114206;;2,114206;2,114567;0,000361;;-0,001166;0,001527;0,002693
349;2,114567;;2,114567;2,116094;0,001527;;0,001527;0;-0,001527
350;2,116094;;2,116094;2,116094;0;;0;0;0
351;2,116094;;2,116094;2,116094;0;;0;0;0
352;2,116094;;2,116094;2,116094;0;;0;0;0
353;2,116094;;2,116094;2,116094;0;;0;0;0
354;2,116094;;2,116094;2,116094;0;;0;0;0
355;2,116094;;2,116094;2,116094;0;;0;0;0
356;2,116094;;2,116094;2,116094;0;;0;0;0
357;2,116094;;2,116094;2,116094;0;;0;0;0
358;2,116094;;2,116094;2,116094;0;;0;0;0
359;2,116094;;2,116094;2,116094;0;;0;-0,000355;-0,000355
360;2,116094;;2,116094;2,116094;0;;-0,000355;7,80E-05;0,000433
361;2,116094;;2,116094;2,116449;0,000355;;7,80E-05;-5,60E-05;-0,000134
362;2,116449;;2,116449;2,116726;0,000277;;-5,60E-05;0,000333;0,000389
363;2,116726;;2,116726;2,117059;0,000333;;0,000333;0;-0,000333
364;2,117059;;2,117059;2,117059;0;;0;0;0
365;2,117059;;2,117059;2,117059;0;;0;0;0
366;2,117059;;2,117059;2,117059;0;;0;-0,001188;-0,001188
367;2,117059;;2,117059;2,117059;0;;-0,001188;0,001188;0,002376
368;2,117059;;2,117059;2,118247;0,001188;;0,001188;0;-0,001188
369;2,118247;;2,118247;2,118247;0;;0;0;0
370;2,118247;;2,118247;2,118247;0;;0;0;0
371;2,118247;;2,118247;2,118247;0;;0;-0,000167;-0,000167
372;2,118247;;2,118247;2,118247;0;;-0,000167;-0,000707;-0,00054
373;2,118247;;2,118247;2,118414;0,000167;;-0,000707;0,000574;0,001281
374;2,118414;;2,118414;2,119288;0,000874;;0,000574;-0,00092;-0,001494
375;2,119288;;2,119288;2,119588;0,0003;;-0,00092;0,00122;0,00214
376;2,119588;;2,119588;2,120808;0,00122;;0,00122;0;-0,00122
377;2,120808;;2,120808;2,120808;0;;0;0;0
378;2,120808;;2,120808;2,120808;0;;0;0;0
379;2,120808;;2,120808;2,120808;0;;0;-0,002102;-0,002102
380;2,120808;;2,120808;2,120808;0;;-0,002102;-0,396906;-0,394804
381;2,120808;;2,120808;2,12291;0,002102;;-0,396906;0,378663;0,775569
382;2,12291;;2,12291;2,521918;0,399008;;0,378663;-0,896986;-1,275649
383;2,521918;;2,521918;2,542263;0,020345;;-0,896986;0,882241;1,779227
384;2,542263;;2,542263;3,459594;0,917331;;0,882241;0,034365;-0,847876
385;3,459594;;3,459594;3,494684;0,03509;;0,034365;0,000349;-0,034016
386;3,494684;;3,494684;3,495409;0,000725;;0,000349;-0,000893;-0,001242
387;3,495409;;3,495409;3,495785;0,000376;;-0,000893;-0,013487;-0,012594
388;3,495785;;3,495785;3,497054;0,001269;;-0,013487;0,001719;0,015206
389;3,497054;;3,497054;3,51181;0,014756;;0,001719;-0,312928;-0,314647
390;3,51181;;3,51181;3,524847;0,013037;;-0,312928;0,325904;0,638832
391;3,524847;;3,524847;3,850812;0,325965;;0,325904;-0,196219;-0,522123
392;3,850812;;3,850812;3,850873;6,10E-05;;-0,196219;0,196101;0,39232
393;3,850873;;3,850873;4,047153;0,19628;;0,196101;-0,000944;-0,197045
394;4,047153;;4,047153;4,047332;0,000179;;-0,000944;0,001076;0,00202
395;4,047332;;4,047332;4,048455;0,001123;;0,001076;-0,021442;-0,022518
396;4,048455;;4,048455;4,048502;4,70E-05;;-0,021442;-0,001754;0,019688
397;4,048502;;4,048502;4,069991;0,021489;;-0,001754;0,017076;0,01883
398;4,069991;;4,069991;4,093234;0,023243;;0,017076;-0,157366;-0,174442
399;4,093234;;4,093234;4,099401;0,006167;;-0,157366;0,162998;0,320364
400;4,099401;;4,099401;4,262934;0,163533;;0,162998;-0,000517;-0,163515
401;4,262934;;4,262934;4,263469;0,000535;;-0,000517;0,001052;0,001569
402;4,263469;;4,263469;4,264521;0,001052;;0,001052;-0,000264;-0,001316
403;4,264521;;4,264521;4,264521;0;;-0,000264;-0,04387;-0,043606
404;4,264521;;4,264521;4,264785;0,000264;;-0,04387;-0,29398;-0,25011
405;4,264785;;4,264785;4,308919;0,044134;;-0,29398;0,338049;0,632029
406;4,308919;;4,308919;4,647033;0,338114;;0,338049;-0,170037;-0,508086
407;4,647033;;4,647033;4,647098;6,50E-05;;-0,170037;0,169956;0,339993
408;4,647098;;4,647098;4,8172;0,170102;;0,169956;9,00E-05;-0,169866
409;4,8172;;4,8172;4,817346;0,000146;;9,00E-05;1,00E-05;-8,00E-05
410;4,817346;;4,817346;4,817402;5,60E-05;;1,00E-05;3,00E-06;-7,00E-06
411;4,817402;;4,817402;4,817448;4,60E-05;;3,00E-06;8,88E-16;-3,00E-06
412;4,817448;;4,817448;4,817491;4,30E-05;;8,88E-16;-4,70E-05;-4,70E-05
413;4,817491;;4,817491;4,817534;4,30E-05;;-4,70E-05;4,40E-05;9,10E-05
414;4,817534;;4,817534;4,817624;9,00E-05;;4,40E-05;-8,88E-16;-4,40E-05
