"No.","Time","Source","Destination","Protocol","Length","Info"
"19807","73.684923","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19808","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19809","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19810","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19811","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19812","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19813","73.689688","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19814","73.690005","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19815","73.691392","192.168.1.8","118.98.109.79","UDP","81","54407  >  443 Len=39"
"19816","73.694088","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19817","73.694088","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19818","73.694088","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19819","73.694343","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19820","73.694495","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19821","73.694594","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19822","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19823","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19824","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19825","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19826","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19827","73.696826","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19828","73.697010","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19829","73.698583","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19830","73.698583","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19831","73.698583","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19832","73.698711","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19833","73.698898","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19834","73.698898","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19835","73.702860","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19836","73.703012","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19837","73.703012","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19838","73.703012","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19839","73.703380","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19840","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19841","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19842","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19843","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19844","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19845","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19846","73.709953","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19847","73.710314","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19848","73.711663","192.168.1.8","118.98.109.79","UDP","83","54407  >  443 Len=41"
"19849","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19850","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19851","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19852","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19853","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19854","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19855","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19856","73.712006","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19857","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19858","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19859","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19860","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19861","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19862","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19863","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19864","73.714067","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19865","73.714227","192.168.1.8","118.98.109.79","UDP","87","54407  >  443 Len=45"
"19866","73.715861","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19867","73.715861","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19868","73.715861","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19869","73.715861","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19870","73.715978","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19871","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19872","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19873","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19874","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19875","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19876","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19877","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19878","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19879","73.721868","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19880","73.721918","192.168.1.8","118.98.109.79","UDP","83","54407  >  443 Len=41"
"19881","73.729301","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19882","73.729301","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19883","73.729301","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19884","73.729301","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19885","73.729634","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19886","73.729764","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19887","73.729967","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19888","73.730100","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19889","73.730199","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19890","73.737808","192.168.1.8","118.98.109.79","UDP","79","54407  >  443 Len=37"
"19891","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19892","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19893","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19894","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19895","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19896","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19897","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19898","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19899","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19900","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19901","73.738207","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19902","73.738608","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19903","73.738733","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19904","73.738804","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19905","73.738880","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19906","73.738956","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19907","73.739037","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19908","73.739178","192.168.1.8","118.98.109.79","UDP","75","54407  >  443 Len=33"
"19909","73.739357","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19910","73.739357","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19911","73.739566","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19912","73.739650","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
